1.7195,0.0923,1.7226,4.1251,5.0058,5.3378,0.83
1.761,0.0962,1.7643,4.175,4.9957,5.4183,0.84
1.8031,0.1003,1.8066,4.2251,4.9957,5.4981,0.85
1.8457,0.1044,1.8494,4.2751,5.0055,5.5769,0.86
1.8887,0.1087,1.8927,4.3251,4.9957,5.6547,0.87
1.9322,0.1131,1.9364,4.3751,5.0053,5.7315,0.88
1.9763,0.1176,1.9806,4.4251,4.9956,5.8072,0.89
2.0207,0.1221,2.0253,4.4751,5.005,5.8819,0.9
2.0658,0.1268,2.0706,4.5251,4.9956,5.9554,0.91
2.1114,0.1316,2.1165,4.5751,4.9957,6.0278,0.92
2.1574,0.1366,2.1627,4.6252,5.0048,6.0991,0.93
2.2038,0.1416,2.2094,4.6751,5.0047,6.169,0.94
2.2507,0.1467,2.2566,4.7251,4.9956,6.2376,0.95
2.2983,0.152,2.3045,4.7751,4.9957,6.305,0.96
2.3462,0.1573,2.3527,4.8252,5.0045,6.3711,0.97
2.3946,0.1628,2.4014,4.8751,5.0044,6.4356,0.98
2.4435,0.1683,2.4506,4.9251,4.9957,6.4988,0.99
2.493,0.174,2.5005,4.9751,4.9958,6.5606,1
2.5429,0.1798,2.5507,5.0252,5.0043,6.6209,1.01
2.5932,0.1857,2.6014,5.0751,5.0042,6.6795,1.02
2.6441,0.1917,2.6526,5.1251,4.9958,6.7366,1.03
2.6956,0.1979,2.7044,5.1751,4.9959,6.7922,1.04
2.7475,0.2041,2.7567,5.2251,5.0042,6.8461,1.05
2.7997,0.2104,2.8093,5.2751,5.0041,6.8982,1.06
2.8528,0.2169,2.8627,5.3251,4.9879,6.9488,1.07
2.906,0.2234,2.9164,5.3751,5.0122,6.9975,1.08
2.9598,0.2301,2.9706,5.4251,4.9961,7.0444,1.09
3.0142,0.2368,3.0254,5.4751,4.9962,7.0895,1.1
3.069,0.2437,3.0806,5.5251,5.0041,7.1327,1.11
3.1244,0.2506,3.1364,5.5751,4.9963,7.1741,1.12
3.1801,0.2577,3.1926,5.6251,5.0041,7.2134,1.13
3.2365,0.2649,3.2494,5.6751,4.9965,7.2508,1.14
3.2932,0.2721,3.3066,5.7251,5.0041,7.2861,1.15
3.3505,0.2795,3.3644,5.7751,4.9966,7.3194,1.16
3.4083,0.287,3.4227,5.8251,4.9967,7.3505,1.17
3.4666,0.2945,3.4815,5.8751,5.0043,7.3795,1.18
3.5252,0.3021,3.5406,5.9251,5.0042,7.4063,1.19
3.5846,0.3099,3.6005,5.9751,4.9897,7.4308,1.2
3.6442,0.3177,3.6606,6.0251,5.0117,7.453,1.21
3.7045,0.3256,3.7214,6.0751,4.99,7.4729,1.22
3.7652,0.3336,3.7827,6.1251,5.0045,7.4903,1.23
3.8265,0.3416,3.8444,6.1751,4.9974,7.5054,1.24
3.8881,0.3498,3.9066,6.2251,5.0046,7.5179,1.25
3.9503,0.358,3.9694,6.275,4.9976,7.5279,1.26
4.0131,0.3663,4.0326,6.325,4.9978,7.5353,1.27
4.0764,0.3747,4.0965,6.3751,4.9979,7.5401,1.28
4.14,0.3831,4.1607,6.4251,5.0049,7.5421,1.29
4.2042,0.3916,4.2254,6.4751,4.9982,7.5413,1.3
4.2689,0.4001,4.2907,6.5251,4.9983,7.5378,1.31
4.334,0.4088,4.3564,6.5751,5.0051,7.5313,1.32
4.3997,0.4174,4.4226,6.625,4.9986,7.5219,1.33
4.466,0.4262,4.4895,6.6751,4.9922,7.5094,1.34
4.5327,0.4349,4.5567,6.7251,5.0055,7.4939,1.35
4.5997,0.4437,4.6243,6.7751,5.0055,7.4752,1.36
4.6674,0.4526,4.6926,6.825,4.9928,7.4533,1.37
4.7356,0.4615,4.7614,6.8751,4.9994,7.428,1.38
4.8043,0.4704,4.8307,6.9251,4.9996,7.3994,1.39
4.8734,0.4793,4.9004,6.9751,5.0061,7.3672,1.4
4.9432,0.4883,4.9707,7.0251,4.9937,7.3316,1.41
5.0132,0.4973,5.0413,7.075,5.0063,7.2922,1.42
5.0839,0.5063,5.1126,7.125,4.9941,7.2492,1.43
5.1551,0.5153,5.1844,7.175,5.0005,7.2022,1.44
5.2268,0.5243,5.2566,7.225,5.0007,7.1514,1.45
5.299,0.5332,5.3294,7.275,5.0009,7.0964,1.46
5.3718,0.5422,5.4027,7.325,4.9952,7.0373,1.47
5.4449,0.5512,5.4763,7.375,5.0073,6.974,1.48
5.5186,0.5601,5.5506,7.425,4.9957,6.9063,1.49
5.5929,0.569,5.6255,7.475,4.996,6.834,1.5
5.6675,0.5778,5.7006,7.525,5.0079,6.757,1.51
5.7428,0.5867,5.7763,7.575,4.9965,6.6754,1.52
5.8186,0.5954,5.8527,7.625,4.9969,6.5887,1.53
5.8948,0.6041,5.9294,7.675,5.0028,6.497,1.54
5.9716,0.6127,6.0067,7.725,4.9975,6.4,1.55
6.0489,0.6212,6.0844,7.775,5.0034,6.2976,1.56
6.1266,0.6297,6.1626,7.825,4.9981,6.1897,1.57
6.205,0.638,6.2414,7.875,4.9985,6.0759,1.58
6.2839,0.6462,6.3207,7.925,4.9988,5.9561,1.59
6.3631,0.6543,6.4004,7.975,5.0045,5.8303,1.6
6.4428,0.6623,6.4804,8,2.4923,5.6983,1.61
6.5224,0.67,6.5604,8,-0.0002,5.5604,1.62
6.602,0.6776,6.6404,8,-0.0002,5.4166,1.63
6.6815,0.6849,6.7202,7.982,-1.7972,5.267,1.64
6.7606,0.692,6.7996,7.9326,-4.9385,5.112,1.65
6.8391,0.6988,6.8785,7.8825,-5.0015,4.9516,1.66
6.9172,0.7053,6.9568,7.8325,-5.0017,4.7862,1.67
6.9947,0.7116,7.0345,7.7825,-5.0018,4.6157,1.68
7.0718,0.7176,7.1119,7.7325,-4.9966,4.4398,1.69
7.1484,0.7233,7.1887,7.6825,-5.0021,4.2585,1.7
7.2245,0.7287,7.265,7.6325,-5.0022,4.0721,1.71
